Date,Close,High,Low,Open,Volume
2025-07-23,398.5,401.75,397.25,399.25,92982
2025-07-24,401.75,404.25,398.25,398.25,111447
2025-07-25,399.5,403.0,398.25,401.5,97166
2025-07-28,393.75,400.0,392.0,399.0,141670
2025-07-29,389.25,394.25,387.75,392.0,169994
2025-07-30,391.75,393.5,388.25,389.0,132091
2025-07-31,394.0,394.75,388.0,391.25,124175
2025-08-01,389.5,396.25,388.75,394.0,111475
2025-08-04,387.0,392.5,386.5,389.5,133486
2025-08-05,381.5,386.75,380.5,386.25,166267
2025-08-06,379.75,381.25,375.0,381.0,151730
2025-08-07,384.5,386.0,379.75,379.75,154983
2025-08-08,382.75,389.25,382.0,384.0,174531
2025-08-11,385.0,387.0,380.5,382.5,180486
2025-08-12,371.5,384.75,368.75,384.5,252732
2025-08-13,374.0,376.0,370.75,371.5,167774
2025-08-14,375.0,376.75,369.5,373.25,112000
2025-08-15,383.75,384.25,374.5,375.5,129521
2025-08-18,383.0,384.75,379.25,383.0,104730
2025-08-19,379.5,383.0,377.75,383.0,79845
2025-08-20,380.0,382.25,378.25,379.5,109776
2025-08-21,387.25,389.5,379.25,379.75,116898
2025-08-22,388.25,389.25,385.5,387.25,108358
2025-08-25,389.25,394.0,388.25,389.25,123992
2025-08-26,387.5,392.0,386.75,389.0,170218
2025-08-27,382.5,387.5,381.75,387.0,108482
2025-08-28,385.5,387.5,379.75,382.5,81216
2025-08-29,398.0,398.5,387.0,387.0,0
2025-09-02,403.0,403.75,393.5,396.25,1546
2025-09-03,397.75,404.5,396.5,403.0,1025
2025-09-04,399.75,400.25,394.25,397.5,863
2025-09-05,399.0,405.25,397.25,401.25,417
2025-09-08,403.0,403.75,394.0,398.0,549
2025-09-09,401.25,403.5,398.75,402.0,146
2025-09-10,397.25,401.25,395.5,401.0,57
2025-09-11,399.0,399.0,396.75,398.25,120
2025-09-12,399.0,405.25,398.5,402.5,363844
2025-09-15,423.25,428.5,422.0,426.25,192792
2025-09-16,429.5,431.25,423.0,423.0,178779
2025-09-17,426.75,431.25,425.5,428.75,146851
2025-09-18,423.75,428.0,423.5,426.5,113263
2025-09-19,424.0,429.75,422.25,424.0,162409
2025-09-22,421.75,424.75,418.25,424.0,189769
2025-09-23,426.25,426.5,418.75,421.75,145931
2025-09-24,424.25,427.5,423.5,425.0,134256
2025-09-25,425.75,428.25,423.5,423.75,146851
2025-09-26,422.0,425.75,421.25,425.25,131813
2025-09-29,421.5,422.75,418.75,421.0,146154
2025-09-30,415.5,421.5,414.0,421.25,279177
2025-10-01,416.5,419.5,410.5,415.75,285170
2025-10-02,421.75,422.5,414.75,417.25,192896
2025-10-03,419.0,423.0,418.5,420.75,179524
