Date,Close,High,Low,Open,Volume,Daily_Return,MA_20,MA_50,MA_100,Volatility_20
2025-07-23,398.5,401.75,397.25,399.25,92982,,,,,
2025-07-24,401.75,404.25,398.25,398.25,111447,0.8155583437892133,,,,
2025-07-25,399.5,403.0,398.25,401.5,97166,-0.5600497822028649,,,,
2025-07-28,393.75,400.0,392.0,399.0,141670,-1.4392991239048802,,,,
2025-07-29,389.25,394.25,387.75,392.0,169994,-1.1428571428571455,,,,
2025-07-30,391.75,393.5,388.25,389.0,132091,0.6422607578676853,,,,
2025-07-31,394.0,394.75,388.0,391.25,124175,0.574345883854499,,,,
2025-08-01,389.5,396.25,388.75,394.0,111475,-1.1421319796954266,,,,
2025-08-04,387.0,392.5,386.5,389.5,133486,-0.6418485237484006,,,,
2025-08-05,381.5,386.75,380.5,386.25,166267,-1.421188630490955,,,,
2025-08-06,379.75,381.25,375.0,381.0,151730,-0.4587155963302725,,,,
2025-08-07,384.5,386.0,379.75,379.75,154983,1.2508229098090906,,,,
2025-08-08,382.75,389.25,382.0,384.0,174531,-0.4551365409622865,,,,
2025-08-11,385.0,387.0,380.5,382.5,180486,0.5878510777269863,,,,
2025-08-12,371.5,384.75,368.75,384.5,252732,-3.506493506493502,,,,
2025-08-13,374.0,376.0,370.75,371.5,167774,0.6729475100942128,,,,
2025-08-14,375.0,376.75,369.5,373.25,112000,0.2673796791443861,,,,
2025-08-15,383.75,384.25,374.5,375.5,129521,2.333333333333343,,,,
2025-08-18,383.0,384.75,379.25,383.0,104730,-0.1954397394136831,,,,
2025-08-19,379.5,383.0,377.75,383.0,79845,-0.9138381201044377,386.2625,,,
2025-08-20,380.0,382.25,378.25,379.5,109776,0.13175230566535578,385.3375,,,1.2409541990750954
2025-08-21,387.25,389.5,379.25,379.75,116898,1.9078947368420973,384.6125,,,1.3114315693479974
2025-08-22,388.25,389.25,385.5,387.25,108358,0.2582311168495721,384.05,,,1.3115647015241314
2025-08-25,389.25,394.0,388.25,389.25,123992,0.25756600128783447,383.825,,,1.2771495148534642
2025-08-26,387.5,392.0,386.75,389.0,170218,-0.4495825305073864,383.7375,,,1.2551355096634578
2025-08-27,382.5,387.5,381.75,387.0,108482,-1.2903225806451646,383.275,,,1.2760888400881718
2025-08-28,385.5,387.5,379.75,382.5,81216,0.7843137254901933,382.85,,,1.2828750438924457
2025-08-29,398.0,398.5,387.0,387.0,0,3.2425421530480003,383.275,,,1.4582756853677874
2025-09-02,403.0,403.75,393.5,396.25,1546,1.2562814070351758,384.075,,,1.4679482415151086
2025-09-03,397.75,404.5,396.5,403.0,1025,-1.3027295285359841,384.8875,,,1.4612310652930136
2025-09-04,399.75,400.25,394.25,397.5,863,0.5028284098051561,385.8875,,,1.4535598614841874
2025-09-05,399.0,405.25,397.25,401.25,417,-0.18761726078799779,386.6125,,,1.4378205730912688
2025-09-08,403.0,403.75,394.0,398.0,549,1.0025062656641603,387.625,,,1.4400681259800832
2025-09-09,401.25,403.5,398.75,402.0,146,-0.43424317617866137,388.4375,,,1.4462414809815731
2025-09-10,397.25,401.25,395.5,401.0,57,-0.9968847352024968,389.725,,,1.192863747619295
2025-09-11,399.0,399.0,396.75,398.25,120,0.4405286343612369,390.975,,,1.1906034738726363
2025-09-12,399.0,405.25,398.5,402.5,363844,0.0,392.175,,,1.1928512461162684
2025-09-15,423.25,428.5,422.0,426.25,192792,6.077694235588971,394.15,,,1.7083588262746932
2025-09-16,429.5,431.25,423.0,423.0,178779,1.476668635558176,396.475,,,1.7132065797084577
2025-09-17,426.75,431.25,425.5,428.75,146851,-0.6402793946449381,398.8375,,,1.701636542375761
2025-09-18,423.75,428.0,423.5,426.5,113263,-0.7029876977152849,401.025,,,1.7238658200529402
2025-09-19,424.0,429.75,422.25,424.0,162409,0.05899705014749124,402.8625,,,1.6971533726937553
2025-09-22,421.75,424.75,418.25,424.0,189769,-0.5306603773584939,404.5375,,,1.7113852803936658
2025-09-23,426.25,426.5,418.75,421.75,145931,1.0669828097213951,406.3875,,,1.7166992747247392
2025-09-24,424.25,427.5,423.5,425.0,134256,-0.46920821114369016,408.225,,,1.7172573208774633
2025-09-25,425.75,428.25,423.5,423.75,146851,0.3535651149086716,410.3875,,,1.667296566884112
2025-09-26,422.0,425.75,421.25,425.25,131813,-0.8807985907222537,412.2125,,,1.6962970094132384
2025-09-29,421.5,422.75,418.75,421.0,146154,-0.11848341232227888,413.3875,,,1.56849054138604
2025-09-30,415.5,421.5,414.0,421.25,279177,-1.4234875444839812,414.0125,,,1.5965836168419212
2025-10-01,416.5,419.5,410.5,415.75,285170,0.24067388688326918,414.95,398.465,,1.5587794123262613
2025-10-02,421.75,422.5,414.75,417.25,192896,1.2605042016806678,416.05,398.93,,1.574584426687031
2025-10-03,419.0,423.0,418.5,420.75,179524,-0.652045050385297,417.05,399.275,,1.5852272024128204
2025-10-06,421.75,422.5,417.25,419.0,141859,0.6563245823389074,417.9875,399.72,,1.57852812022636
2025-10-07,419.75,424.5,419.0,421.5,219828,-0.47421458209839784,418.9125,400.24,,1.579450599290904
2025-10-08,422.0,422.75,418.5,419.25,167360,0.5360333531864159,420.15,400.895,,1.5533941494022285
2025-10-09,418.25,423.25,418.0,422.0,207206,-0.8886255924170583,421.1125,401.425,,1.575954903976822
2025-10-10,413.0,419.25,412.25,418.25,233653,-1.2552301255230103,421.8125,401.805,,1.610929524113361
2025-10-13,410.75,415.0,410.5,413.0,233653,-0.5447941888619856,421.1875,402.23,,0.8245251055327012
2025-10-14,413.0,413.5,409.25,410.75,192433,0.5477784540474762,420.3625,402.75,,0.751177906885614
2025-10-15,416.75,418.5,411.25,412.75,195171,0.9079903147699797,419.8625,403.455,,0.7818114475632106
2025-10-16,421.75,423.5,416.25,416.75,304262,1.1997600479904058,419.7625,404.295,,0.8213409808336156
2025-10-17,422.5,424.75,421.0,421.25,185452,0.1778304682868992,419.6875,405.055,,0.8223751107220274
2025-10-20,423.25,424.0,419.5,422.5,179465,0.17751479289940253,419.7625,405.865,,0.8141865675954062
2025-10-21,419.75,424.5,418.5,423.25,181051,-0.8269344359125852,419.4375,406.56,,0.7960526571085837
2025-10-22,423.0,424.0,418.5,419.75,186819,0.7742703990470501,419.375,407.59,,0.8119450828980822
2025-10-23,428.0,428.5,421.0,423.0,206571,1.1820330969267046,419.4875,408.67,,0.8517155586526011
2025-10-24,423.25,427.5,423.0,427.25,211852,-1.1098130841121545,419.55,409.635,,0.8660216528890988
2025-10-27,428.75,431.75,426.0,427.0,295622,1.2994683992912037,419.9125,410.535,,0.9110975460615337
2025-10-28,432.0,436.25,427.25,428.0,378016,0.7580174927113603,420.7375,411.515,,0.8489248538554232
2025-10-29,434.0,435.0,430.0,431.25,239879,0.4629629629629539,421.6125,412.605,,0.8509611593814339
2025-10-30,430.25,437.0,427.75,434.0,301183,-0.8640552995391682,422.0375,413.61,,0.8454378573733339
2025-10-31,431.5,432.25,426.5,429.25,214312,0.29052876234747504,422.6625,414.495,,0.8271952392790485
2025-11-03,434.25,435.0,427.75,431.0,0,0.6373117033603659,423.2875,415.415,,0.8265938469589348
2025-11-04,431.5,434.5,429.25,434.0,183033,-0.6332757628094376,423.875,416.26,,0.8336447839777839
2025-11-05,435.25,436.0,428.75,430.5,201307,0.8690614136732222,424.5375,417.215,,0.8451874116223671
2025-11-06,428.75,434.75,428.25,434.5,228266,-1.493394600804132,425.0625,418.14,,0.8940150128612414
2025-11-07,427.25,430.5,426.75,428.5,186066,-0.3498542274052441,425.775,418.975,,0.8416867979521732
2025-11-10,429.75,431.25,426.25,426.75,220392,0.5851375073142151,426.725,419.61,,0.8287852955062124
2025-11-11,432.0,432.75,428.5,429.0,221848,0.5235602094240788,427.675,420.19,,0.8283135315488831
2025-11-12,435.25,436.0,431.0,431.5,271699,0.752314814814814,428.6,420.94,,0.8223009018084567
2025-11-13,441.5,442.75,434.0,434.75,400924,1.4359563469270586,429.5875,421.775,,0.8386371589267879
2025-11-14,430.25,442.75,429.5,441.5,411585,-2.5481313703284214,429.975,422.4,,1.04428120823848
2025-11-17,434.75,437.25,428.5,429.75,219642,1.0459035444509102,430.55,423.035,,1.0656768562006567
2025-11-18,436.75,438.5,433.25,434.75,162294,0.46003450258769174,431.4,423.745,,1.0428571845286543
2025-11-19,429.75,436.25,428.25,435.5,198902,-1.602747567258156,431.7375,424.395,,1.1078576316644084
2025-11-20,426.5,431.25,425.75,429.75,195292,-0.7562536358347915,431.6625,424.945,,1.0915030168755864
2025-11-21,425.5,427.75,424.0,426.25,194578,-0.23446658851113966,431.775,425.475,,1.0623198291242972
2025-11-24,423.75,426.5,422.25,426.0,227312,-0.4112808460634554,431.525,425.485,,1.0230322545160935
2025-11-25,423.5,426.0,422.25,423.75,227795,-0.05899705014749124,431.1,425.365,,1.0050708439351081
2025-11-26,431.75,433.5,423.0,423.0,158325,1.9480519480519431,430.9875,425.465,,1.0989016744609141
2025-11-28,435.5,437.0,430.75,432.0,8642,0.8685581933989495,431.25,425.7,,1.0971714373113426
2025-12-01,432.75,436.5,432.0,434.5,3265,-0.6314580941446657,431.3125,425.875,,1.1065876643332908
2025-12-02,438.0,439.25,430.75,433.25,2267,1.21317157712304,431.5,426.2,,1.1307157861748192
2025-12-03,431.5,438.0,431.0,438.0,1340,-1.4840182648401812,431.5,426.305,,1.17295091326506
2025-12-04,437.75,438.25,431.0,432.75,1242,1.4484356894553851,431.625,426.575,,1.202164258085639
2025-12-05,436.75,439.0,435.5,435.75,1038,-0.22844089091947906,432.025,426.795,,1.1496190174949548
2025-12-08,436.25,439.75,432.5,437.25,1738,-0.11448196908986352,432.475,427.08,,1.145983712986241
2025-12-09,440.75,441.75,434.5,437.0,1093,1.0315186246418362,433.025,427.465,,1.1599747869542236
2025-12-10,434.75,440.5,434.0,440.5,702,-1.3613159387407814,433.1625,427.85,,1.2023567054896063
2025-12-11,435.25,440.0,432.5,436.75,257,0.11500862564692849,433.1625,428.225,413.345,1.190836399525635
